formula,target
C2H3Li1O5,5.113103000000001
Cs2Ge1Te4,0.9403450000000002
C1H2Mn1O6P1,4.65516
Cl11K1Nb2,3.186382
Ba3Ge1O1,0.740163
Cd1Sc2Se4,1.400408
Ir1S1Sb1,2.205511
B6Ba1,0.383033
Li1P1Sr1,2.044546
Cr1La1S3,0.927787
Br2K4O1,2.0507
Cu1K1Pd1Se5,1.8401
Cl6K2Ti1,3.2803820000000004
Ga1Na3S3,3.910961
Ba1H2Ni3O10V2,3.158244
Co1Lu2O14S2Te2,4.443372
Br3C2H8Hg1N1,3.676446
Ca3N1P1,1.6021280000000004
P,0.507511
Au2I1K6Na1O8,3.190362
F3Fe1Na2O4S1,3.749291
F1Fe1O3Se1,3.643544
Fe1S1,1.194286
B1La6N3O6,2.090934
Bi1Cs1S2,2.348586
As2O7Ti1,4.022633
S2Zr1,1.81672
F6H12Mn1O6Ti1,2.806257
Cs2Se5Si2,3.398498
Pb1Se2,0.074749
Cr2O12S3,4.371017
Co2K2Na4O5,3.356991
F4Pd1,2.750163
F6K3W1,2.287972
O4Rb2Zn3,3.239417
H5K2O6Sb1,4.844933
Mo1O6Pb1Se1,2.780396
Cl1K3O1,2.190715
Hg1O7P2Pd1,3.367433
Al1As3Ba3,1.248015
Ni1S2,1.255728
Al1P1,2.327076
Ca2Sb1,0.474864
Ag5Cs1Te3,0.56511
Ga1Ge1N1Sr2,0.527229
Mo3O12Se1Tl2,3.309717
F2Xe1,4.3373
As1Ca2I1,2.287013
Pb1Sc2Se4,1.967941
Ag2Hg1Se4Sn1,0.533597
Cl5Co1Tl3,3.669795
K1Mo2O8Sb1,3.020355
Cs1F1,7.076575
C1Os1,0.770791
F6O4Os1Xe1,3.798658
O6Rb4,0.637515
C12Mn2O12Pt1,2.508661
K1Rb1S1,3.111366
Co1H8O14P2V2,3.439504
Cr1I2,2.543412
Ni1O6V2,2.873378
Ge2N2O1,4.005346
As4Ga1Na3Sr3,1.042108
C2H4N1O2,4.414454
Ba1Se2,1.406809
P4Ru1,1.495495
Bi4Br2Ru1,1.156307
K1La1S4Si1,3.568604
Fe3H9O15S2,3.380891
As3Cd4Cs1,0.7224809999999999
C2Cl1Cs1N2Ni1,3.78575
La1O9V3,3.789071
O24P6Pb1Ti4,4.185134
H3Li1Sr1,2.646692
Br2Cs2H2Hg2I4O1,2.74566
K6Mn1Se4,2.389416
Ba1F6Si1,9.735936
Ba1P1Se3,3.058269
S4Sc2Sr1,2.356653
Cs2F4Hg1,3.79697
Mg1O6V2,3.080124
Ge2In6O9Pt1,2.393646
Cl2Cu2O6Sr1Te2,3.083317
Cu1La1S2,2.3230850000000007
Fe2O5Sr2,3.375442
O13V7,0.355803
F4Hf1,7.451003
Ge1O4Zn2,3.899172
Bi2O4,1.818855
Al1Cs1D4,6.028108
Al1Li1P2S6,3.742507
B1La3N2O3,2.15246
F2Kr1,4.711035
Ba1Co1O1S1,2.491271
Cs1F4H4Mn1O2,3.613689
Cr1Cu1P2S6,2.03388
Na5O5Ta1,4.058076
As1H2Mn1O5,3.05986
Li1P1,1.38858
B2Na2O10Te1Y2,4.453641
Cs1H2O4P1,6.996327
Br3Ga1,4.511178
C4Cl2Cs2N4Pt1,4.123676
Ca1Mn1O6Ti2,2.363068
Ca2Ge1N2,0.021761
I1In1,1.90789
Bi1Cu1O1Se1,1.146679
Cl1F5Ge1O2,3.603172
Cl4Sn1,4.881136
Cr2Se4Zn1,1.0074650000000005
Cr3H6K1O14S2,3.868327
Ni1P1Se3,1.673204
I3P1,3.098866
Sb1Se3Tl3,1.613994
As4Mg1,1.407985
Cl6Fe1Zr1,3.2855760000000003
C2Cs1N3,5.838137
As1Ba2Ga1Se5,2.503165
Al1Li3N2,4.147426
Ag1P2Se6V1,1.161688
C2Cl3H10Ir1O3,3.630041
Cd2Sb2Sr1,0.5112220000000001
Ga2O4Zn1,4.134884
Bi1Cs3Se3,2.774554
Ag1Te1Tl1,1.1175189999999997
Cd1In2S4,1.98501
Ag4O5Te1,0.8056989999999997
Cl3N1Se2,1.041642
Ag1La3S7Sn1,2.881473
Al1Cl6I1,3.452698
I1O4P1Pb2,3.779707
In3Ru1,0.560098
Cr2Ni1S4,1.8657629999999996
O5Sb2,1.75531
Ag5Cl5Hg4P8,2.033874
I6Nb1Te4,1.465842
Cu1S7Sn1Y3,2.421733
Na2O13W4,2.518658
F13N1O2Xe2,4.121619
Ba4O1P2,1.658909
Cs1D3Mg1,3.719154
Cl2Fe5O18Te6,0.100473
Cr1Lu1O4,1.204805
Mn1O3Sc1,2.089707
Ca1Cl2,6.931097
D6Fe1Mg2,4.186952
Rb1S2Y1,3.314208
K4P2Pd1S8,2.882805
Bi2In4S9,2.3864780000000003
Rb2Se2,1.803637
Br2Co1,3.552701
Bi6O20Sr1V4,3.780552
Cs2Fe1O4,3.312205
As4Rb2Zn5,0.9411920000000004
Ba2In1S4,2.9434939999999994
N3Na1,5.044904
As5I1Te7,0.6294469999999999
Ba2Bi1In1S5,2.166471
Mn2Nb2O9Zn2,2.737963
K1N3O4,4.411336
Ba2Se5Sn1,2.064662
Mn1P2Rb2S6,3.336555
Al3I1Te3,2.693465
Ag1Na2Sb1,1.108
Mn2O8Te3,3.398127
Mg3Nb6O11,1.253918
I2La2O4Si1,4.601088
Bi1Na1O3,2.509147
I1Na1O6Pb2,4.191582
As4Ga2Sr3,1.268713
Br1Cu1H6N2,3.533932
Al2Mn1S4,3.148453
C1H3Se1,3.072728
Ca1O8Te3,2.975689
Ge5Ir4,0.411554
Ba3Ga2S6,3.664127
K1Mn1O4,3.06658
Cl2O1V1,1.467579
Cs3Na1Pb4,0.608666
C4Cr1H4N1O10,2.578865
K3P11,2.680529
Ge2Li4N6Sr3,3.198679
H2Mg1O8S2,5.28832
C1Cl1H9N6,6.535755
O3Pb1Zn1,0.82674
Ag1Bi1S2,1.090961
As3Ge1K1Na4,1.09234
Hg2Se4Sn1,0.947482
N4Na2O12Pd1,3.770695
