smiles,ΔfH°(298.15 K)
C/C=C\C1=CCC=C1,39.93
C=CC(C#C)(C=C)C,78.35
C=CC(C#CC)C=C,75.98
C=CC1(C)C=CC=C1,43.96
C=CC1=C(CC1)C=C,60.94
C=CC1=CCC(=C1)C,36.28
C=CCC1C=CC=C1,49.91
CC#CC(C#C)(C)C,84.5
CC(C#CC)C#CC,82.29
CC(OO)(CC)O,-102.2
CC[C@H](C#CC)C#C,89.85
CC1=CCC=C1C=C,37.81
CCC#CCC#CC,87.27
CCC(C#C)(C#C)C,89.24
CCC(COO)O,-89.51
CCC(OO)CO,-89.28
CCc1ccccc1,7.31
CCCC(OO)O,-96.11
O=C=C1C=CC(=C1)C,16.03
O=C=C1C=CC=C1C,15.98
O=Cc1ccccc1,-8.77
OCC(OO)(C)C,-94.8
OCCC(OO)C,-90.98
OCCCCOO,-87.52
OOC(C(C)C)O,-98.24
OOC(C(O)C)C,-93.96
OOCC(O)(C)C,-94.16
OOCCC(O)C,-91.24
[CH2][C@@H](C#C)CCC=C,98.53
[CH2]C/C=C/C=C/C=C,75.61
[CH2]C/C=C/C=C\C=C,77.01
[CH2]C/C=C\C=C\C=C,76.84
[CH2]C1=CC=CC=CO1,39.62
[CH2]CC[C@@H](C#C)C=C,97.41
[CH2]Oc1ccccc1,29.55
[O]Cc1ccccc1,29.64
C/C(=C\C#C)/CC[CH2],89.68
C/C=C/[C](C=C)C=C,52.55
C/C=C/C1=CC[CH]C1,57.5
C/C=C/C1=CCC[CH]1,46.89
C/C=C\[C](C=C)C=C,55.18
C/C=C\1/CCC=C[CH]1,37.35
C/C=C\C1=CCC[CH]1,48.81
C[C](C#C)CCC=C,81.2
C[C]1C=C(C(=C1)C)C,32.66
C=C[CH]C/C=C\C=C,66.44
C=CC/C=C\[CH]C=C,59.53
C=CCCC[CH]C#C,85.47
CC#CC=C[C](C)C,63.22
CC([C]1C=CC=C1)C,41.39
CC[CH]C1C=CC=C1,62.98
CC1(C)C=C[CH]C=C1,36.4
CCC1=C[CH]C=C1C,38.69
CCC1C=C[CH]C=C1,35.46
C/C(=C/C=C=C)/CC,39.96
C/C(=C\C=C=C)/CC,40.12
C/C=C/C(C#C)(C)C,44.08
C/C=C/C(C=C)C=C,37.13
C/C=C/C=C/C(=C)C,23.33
C/C=C/C=C\C(=C)C,27.62
C/C=C/C=C=C(C)C,37.25
C/C=C\C(C=C)C=C,38.19
C/C=C\C=C/C(=C)C,29.13
C/C=C\C=C\C(=C)C,24.39
C/C=C\C=C=C(C)C,38.35
C=C/C=C/C=C(C)C,23.66
C=C/C=C\C=C(C)C,25.2
C=C=C1CCCCC1,25.1
C=C1CCC(=C)CC1,12.59
C=CC(=C(C)C)C=C,30.05
C=CC(C#CC)(C)C,41.63
C=CC(C=C)(C=C)C,37.81
CC(C1=CC=C1C)C,69.25
CC/C=C/C=C/C=C,26.65
CC/C=C/C=C\C=C,28.22
CC/C=C\C=C/C=C,29.43
CC/C=C\C=C\C=C,27.95
Cc1ccccc1O,-30.55
CCC=C1CC=CC1,17.35
OC1=CC=CC(=C)C1,-0.72
OCc1ccccc1,-23.68
[CH2]/C=C/C[C@H](C=C)C,39.25
[CH2]CC(=C)CCC=C,55.79
[CH2]CCC(=C)CC=C,55.62
[CH2]CCC(C=C)C=C,57.15
[CH2]CCC/C=C/C=C,52.17
[CH2]CCC/C=C\C=C,53.31
[CH2]CCCC(=C)C=C,52.28
[CH2]CCCCC=C=C,67.0
[O]Oc1ccccc1,34.81
C/C(=C/CC[CH2])/C=C,50.41
C/C(=C\CC[CH2])/C=C,50.09
C/C=C/[C](/C=C/C)C,22.61
C/C=C/[C](C=C)CC,25.47
C/C=C/[C]1CCCC1,20.09
C/C=C/[CH][C@H](C=C)C,37.21
C/C=C/C[C](C=C)C,35.06
C/C=C/C[CH]/C=C/C,36.54
C/C=C\[C](/C=C/C)C,26.34
C/C=C\[C](/C=C\C)C,30.76
C/C=C\[C](C=C)CC,29.51
C[CH]/C=C/C/C=C/C,36.76
C[CH]/C=C/C/C=C\C,37.51
C=C[C@H]([C](C=C)C)C,36.48
C=C[C](C=C(C)C)C,25.74
C=C[C]1CCCCC1,18.91
C=C[CH]CC/C=C/C,38.72
C=CC[C@H](C=C)C[CH2],56.82
C=CCC[C@@H](C=C)[CH2],57.27
C=CCC[C](C=C)C,37.62
C=CCC[CH]CC=C,56.5
C=CCCC/C=C/[CH2],41.2
C=CCCCC(=C)[CH2],41.38
C=CCCCC[C]=C,64.6
CC(=C)[C]1CCCC1,20.08
CC1=C([CH]1)C(C)(C)C,72.98
C/C=C/[C@H](C=C)CC,6.03
C/C=C/C[C@H](C=C)C,5.78
C/C=C/C(C=C)(C)C,3.65
C/C=C/CC/C=C/C,5.28
C/C=C\[C@H](C=C)CC,6.98
C/C=C\C(C=C)(C)C,6.75
C/C=C\CC/C=C/C,6.32
C/C=C\CC/C=C\C,7.38
C=C[C@H]([C@H](C=C)C)C,6.65
C=CC(C(C=C)C)C,6.34
C=CCCCCC=C,10.39
CC(=C)CCC(=C)C,3.32
