smiles,ΔfH°(298.15 K)
CCC#CCC#CC,87.27
CCC(C#C)(C#C)C,89.24
O=Cc1ccccc1,-8.77
OCC(OO)(C)C,-94.8
OCCCCOO,-87.52
OOC(C(C)C)O,-98.24
OOCC(O)(C)C,-94.16
[CH2][C@@H](C#C)CCC=C,98.53
[CH2]C/C=C/C=C/C=C,75.61
[CH2]C/C=C/C=C\C=C,77.01
[CH2]C/C=C\C=C\C=C,76.84
[CH2]CC[C@@H](C#C)C=C,97.41
[CH2]CCCC(=C)C#C,93.99
[O]Cc1ccccc1,29.64
C/C=C/[C](C=C)C=C,52.55
C/C=C\[C](C=C)C=C,55.18
C[C](C#C)CCC=C,81.2
C=C[CH]C/C=C\C=C,66.44
C=CC/C=C\[CH]C=C,59.53
CC#CC=C[C](C)C,63.22
CCC1=C[CH]C=C1C,38.69
C/C(=C/C=C=C)/CC,39.96
C/C(=C\C=C=C)/CC,40.12
C/C=C/C(C#C)(C)C,44.08
C/C=C/C(C=C)C=C,37.13
C/C=C/C=C/C(=C)C,23.33
C/C=C/C=C\C(=C)C,27.62
C/C=C/C=C=C(C)C,37.25
C/C=C\C(C=C)C=C,38.19
C/C=C\C=C/C(=C)C,29.13
C/C=C\C=C\C(=C)C,24.39
C/C=C\C=C=C(C)C,38.35
C=C/C=C/C=C(C)C,23.66
C=C/C=C\C=C(C)C,25.2
C=CC(=C(C)C)C=C,30.05
C=CC(C#CC)(C)C,41.63
C=CC(C=C)(C=C)C,37.81
OOC(C(=O)C(C)(C)C)(C)C,-102.18
CC#CCC=C(C)C,44.53
CC(C1=CC=C1C)C,69.25
CC/C=C/C=C/C=C,26.65
CC/C=C/C=C\C=C,28.22
CC/C=C\C=C/C=C,29.43
CC/C=C\C=C\C=C,27.95
CCC#CC=C(C)C,36.57
CCC1(C)C=CC=C1,13.31
COc1ccccc1,-16.99
[CH2]/C=C/C[C@H](C=C)C,39.25
[CH2]CC(=C)CCC=C,55.79
[CH2]CCC(=C)CC=C,55.62
[CH2]CCC(C=C)C=C,57.15
[CH2]CCC/C=C/C=C,52.17
[CH2]CCC/C=C\C=C,53.31
[CH2]CCCC(=C)C=C,52.28
[CH2]CCCCC=C=C,67.0
C/C(=C/CC[CH2])/C=C,50.41
C/C(=C\CC[CH2])/C=C,50.09
C/C=C/[C](/C=C/C)C,22.61
C/C=C/[CH][C@H](C=C)C,37.21
C/C=C/C[CH]/C=C/C,36.54
C/C=C\[C](/C=C/C)C,26.34
C/C=C\[C](/C=C\C)C,30.76
C[CH]/C=C/C/C=C/C,36.76
C[CH]/C=C/C/C=C\C,37.51
C=C[C@H]([C](C=C)C)C,36.48
C=C[C](C=C(C)C)C,25.74
C=C[CH]CC/C=C/C,38.72
C=CC[C@H](C=C)C[CH2],56.82
C=CCC[CH]CC=C,56.5
C=CCCC/C=C/[CH2],41.2
C=CCCCC[C]=C,64.6
C=CCCCC(=C)[CH2],41.38
C/C=C/[C@H](C=C)CC,6.03
C/C=C/C(/C=C/C)C,3.62
C/C=C/C(C=C)(C)C,3.65
C/C=C/C[C@H](C=C)C,5.78
C/C=C/CC/C=C/C,5.28
C/C=C\[C@H](/C=C/C)C,4.64
C/C=C\[C@H](C=C)CC,6.98
C/C=C\C(/C=C\C)C,5.63
C/C=C\C(C=C)(C)C,6.75
C/C=C\CC/C=C/C,6.32
C/C=C\CC/C=C\C,7.38
C=C[C@H]([C@H](C=C)C)C,6.65
C=CC(C(C=C)C)C,6.34
C=CCCCCC=C,10.39
CC(=C)CCC(=C)C,3.32
CC(=CC=C(C)C)C,-4.54
CC(C1=C(CC1)C)C,6.06
CC=C=CC(=O)C=O,-13.88
CC=CCC(C=C)C,6.33
CC=CCCC=CC,5.91
CCC#CC(C)(C)C,10.65
CCC=C=CC(=O)C,-7.57
CCc1ccc(o1)C,-33.53
CCCC(C=C)C=C,8.74
O=CC(=C)C=C(C)C,-15.18
OOc1ccccc1,-1.36
[CH2][C@H](CC)CCC=C,27.84
[CH2]C[C@@H](C(C)C)C=C,25.71
[CH2]CC(CC=C)(C)C,23.86
[CH2]CC(CC=C)CC,27.83
[CH2]CC/C=C/C(C)C,24.49
[CH2]CC/C=C\C(C)C,25.48
[CH2]CC[C@@H](CC=C)C,27.46
[CH2]CC[C@H](C=C)CC,26.5
[CH2]CCC(C=C)(C)C,24.76
[CH2]CCC/C(=C/C)/C,24.18
[CH2]CCC/C(=C\C)/C,24.03
[CH2]CCC/C=C/CC,26.36
[CH2]CCC/C=C\CC,27.42
[CH2]CCCC(=C)CC,25.51
[CH2]CCCC/C=C/C,26.29
[CH2]CCCC/C=C\C,27.44
[CH2]CCCC=C(C)C,23.73
[CH2]CCCCC(=C)C,25.23
[CH2]CCCCCC=C,28.95
C[C@@]1([CH]CC)CC1=O,25.07
C[C@@H](C[CH2])CCC=C,27.4
C[C@@H](C=C)CCC[CH2],26.82
C[C](CC=C(C)C)C,17.21
C[C](CCC(=C)C)C,19.14
C[CH]CCC/C=C/C,23.17
C[CH]CCC/C=C\C,24.26
C[CH]CCCCC=C,25.98
C=CC[C@@H](C(C)C)[CH2],26.17
C=CCC[CH]C(C)C,24.65
C=CCCC([CH2])(C)C,25.0
C=CCCCC([CH2])C,27.74
CC[CH]CCCC=C,26.02
CCCCCC[C]=C,34.83
C/C=C(/C(C)(C)C)\C,-27.55
C/C=C(\C(C)(C)C)/C,-23.3
C/C=C/C(CC)(C)C,-26.79
C/C=C\C(CC)(C)C,-22.66
CC(=C)CC(C)(C)C,-26.65
CC(=CC(C)(C)C)C,-26.5
CC(=O)C=CC(=O)C,-64.47
CC(C(=C(C)C)C)C,-27.11
CC/C(=C(/CC)\C)/C,-26.08
CC/C(=C(\CC)/C)/C,-25.83
CC/C=C/C(C)(C)C,-27.36
CC/C=C\C(C)(C)C,-23.39
CCC(=C(C)C)CC,-25.99
CCCC(=C(C)C)C,-26.35
[CH2]C(C(C)(C)C)(C)C,-6.11
[CH2]C(CCC(C)C)C,-4.02
[CH2]CCCCCCC,-0.74
C[C](CC(C)(C)C)C,-12.88
CC(CC([CH2])(C)C)C,-5.18
CC[C@@H](C([CH2])(C)C)C,-4.45
CCC(C([CH2])C)(C)C,-4.71
CCC(C([CH2])C)CC,-2.25
CCC(CC)(CC)[CH2],-3.62
CCC[C@H]([C](C)C)C,-9.01
CCC[C](CCC)C,-7.23
CCCC[C@@H](CC)[CH2],-1.9
CCCC[C](CC)C,-6.81
CCCC[CH]CCC,-3.89
