smiles,ΔfH°(298.15 K)
CCC=C[CH]C,19.42
CCC1C[CH]C1,41.18
CCC1CC[CH]1,41.64
CCCC=C[CH2],21.85
CCCC1C[CH]1,52.55
O=C1[CH]C=CO1,-35.87
O=C1C[C]=CO1,5.65
O=C1CC=[C]O1,4.76
C/C(=C(/C)\C)/C,-16.30
C/C=C/C(C)C,-14.65
C/C=C\C(C)C,-13.64
C[C@@H]1[C@@H]([C@@H]1C)C,-5.72
C[C@@H]1[C@H]([C@@H]1C)C,-7.78
C[C@@H]1C[C@@H](C1)C,-10.00
C[C@@H]1C[C@H](C1)C,-9.14
C[C@@H]1CC[C@@H]1C,-8.64
C[C@@H]1OC1=C=O,1.47
C[C@H](C=C)CC,-12.23
C[C@H]1CC[C@@H]1C,-10.20
C[C@H]1CC1(C)C,-9.24
C=C[C@H]1OC1=O,-27.32
C=C1CCCO1,-27.79
C=CC(C)(C)C,-14.31
C=CC(C=O)C,-25.12
C=CCC(C)C,-12.05
C=CCCC=O,-23.98
C1CC2C(C1)O2,-22.30
C1CC2CC1O2,-12.46
C1CCCCC1,-29.16
C1COC=CC1,-27.81
C1OC(=O)C=C1,-62.72
C1OC=CC1=O,-50.41
CC(=C(C)C)C,-16.38
CC(=C)C=CO,-22.76
CC(=C)C1CO1,-5.30
CC(=C)CC=O,-26.96
CC(=O)C(=C)C,-35.91
CC(=O)CC=C,-30.65
CC(C=C)CC,-11.78
CC(C=C=O)C,-28.38
CC(C1CC1)C,-7.22
CC/C(=C/C)/C,-14.99
CC/C(=C\C)/C,-15.00
CC/C=C(\C)/C,-15.26
CC/C=C/CC,-12.67
CC/C=C\CC,-11.55
CC[C@H]1C[C@@H]1C,-7.12
CC[C@H]1C[C@H]1C,-5.78
CC=C(C=O)C,-33.44
CC=CC(=O)C,-35.11
CC=CC(C)C,-14.09
CC=CC=CO,-21.93
CC1(C)CCC1,-10.69
CC1(CO1)C=C,-7.35
CC1=COCC1,-26.35
CC1CCCC1,-26.19
CCC(=C)CC,-13.17
CCC(=CC)C,-13.92
CCC(=O)C=C,-31.32
CCC/C=C/C,-12.92
CCC/C=C\C,-11.82
CCC=C(C)C,-14.42
CCC=CC=O,-29.39
CCC=CCC,-11.89
CCC1(C)CC1,-8.19
CCC1CCC1,-7.39
CCCC(=C)C,-13.36
CCCC=CC,-11.96
CCCC1CC1,-4.86
CCCCC=C,-9.95
O=C[C@H]1CC1=O,-24.22
O=C1CC=CO1,-62.60
O=C1CCCC1,-46.50
O=CC(=C)C=O,-41.24
O=CC=C(C)C,-31.70
O=CC=C=CO,-19.16
O=CC=CC=O,-41.97
O=CCC=CC,-25.85
OC=C(C=C)C,-22.44
Oc1ccco1,-49.06
Oc1cocc1,-44.19
OCC=CC=C,-15.49
[CH]1C[C@@H]2[C@H](O1)O2,-4.09
[CH]1CCCOC1,-4.60
[CH]1COC=CO1,-5.58
[CH]1OCC=CO1,-8.96
[CH2][C@@H]1C[C@H](O1)C,10.22
[CH2][C@@H]1CCCO1,-2.54
[CH2][C@@H]1O[C@H]1C=O,-2.24
[CH2][C@H]1C[C@H](O1)C,9.58
[CH2][C@H]1COC1=O,-25.89
[CH2][C@H]1O[C@H]1C=O,-1.03
[CH2]C(C(C)C)C,6.60
[CH2]CC(C)(C)C,3.93
[CH2]CC(CC)C,7.51
[CH2]CCCCC,9.06
[O][C@H]1CC=CO1,-9.99
[O]C1CCCC1,-6.14
C[C@@H]1[CH]CCO1,-6.31
C[C@@H]1C[CH]CO1,-7.47
C[C@@H]1CC[CH]O1,-11.81
C[C@@H]1OC[C@@H]1[CH2],12.73
C[C@@H]1OC[C@H]1[CH2],11.38
C[C]1CCCO1,-12.73
C[CH]C(C)(C)C,1.85
C[CH]CC(C)C,4.21
C1[CH][C@@H]2[C@H](O1)O2,-2.91
C1[CH]CCOC1,-5.98
C1C[C@@H]2[C](O1)O2,10.36
C1C[C]2[C@H](O1)O2,6.69
C1CC[CH]OC1,-8.87
C1CO[C@@H]1[C]=O,-8.66
CC([C](C)C)C,1.39
CC[C](CC)C,3.20
CC[CH]C(C)C,4.83
CCC([CH]C)C,4.78
CCC([CH2])(C)C,5.26
CCC(CC)[CH2],8.15
CCC[C](C)C,2.54
CCC[CH]CC,6.17
CCCC([CH2])C,7.83
CCCC[CH]C,6.04
O[C]1CCCC1,-16.37
O=C1[CH]CCO1,-46.09
O=C1C[CH]CO1,-42.38
O=C1CC[CH]O1,-45.63
O1C[C@@H]2[C@H]([CH]1)O2,-2.22
O1C[C@H]2[C](C1)O2,13.87
C([C@H]1CO1)C=O,-45.83
C[C@@H]1O[C@H]1C=O,-50.59
C[C@@H]1OC[C@@H]1C,-36.38
C[C@@H]1OC[C@H]1C,-37.58
C[C@H]1O[C@H]1C=O,-49.10
C1C[C@@H]2[C@H](O1)O2,-49.17
C1C[C@H]2O[C@@H]1O2,-42.49
C1CCCOC1,-56.00
C1COC=CO1,-50.40
C1O[C@H]2C[C@@H]1O2,-38.90
CC(=C)CCO,-45.70
CC(=CC)CO,-45.06
CC(=CO)CC,-47.98
CC(=O)C(C)C,-63.13
CC(=O)C=CO,-70.29
CC(=O)C1CO1,-52.40
CC(=O)OC=C,-75.78
CC(C(C)C)C,-43.12
CC(C=C)CO,-43.72
CC(C=O)CC,-55.93
CC(C1OC1)C,-34.67
CC=CCCO,-43.89
CC1(C)CCO1,-41.09
CC1(C)COC1,-35.60
CC1CC(O1)C,-40.92
CC1CCCO1,-53.81
CC1COCC1,-50.99
CC1OC1(C)C,-42.11
CC1OCC1=O,-54.30
CC1OCC1C,-36.85
CCC(=C)CO,-43.07
CCC(=O)CC,-61.70
CCC(CC)C,-40.67
CCC=CCO,-42.23
CCC1(C)CO1,-37.93
CCC1CCO1,-35.34
CCC1COC1,-31.95
CCC1OC1C,-37.75
CCCC(=O)C,-62.03
CCCC(C)C,-41.68
CCCC=CO,-45.34
